Número de iteração,Tempo,Tipo
1,0 days 00:00:00,Largura
2,0 days 00:00:00,Largura
3,0 days 00:00:00,Largura
4,0 days 00:00:00,Largura
5,0 days 00:00:00,Largura
6,0 days 00:00:00,Largura
7,0 days 00:00:00,Largura
8,0 days 00:00:00,Largura
9,0 days 00:00:00.001125,Largura
10,0 days 00:00:00,Largura
11,0 days 00:00:00,Largura
12,0 days 00:00:00,Largura
13,0 days 00:00:00,Largura
14,0 days 00:00:00.000941,Largura
15,0 days 00:00:00,Largura
16,0 days 00:00:00.000989,Largura
17,0 days 00:00:00.001993,Largura
18,0 days 00:00:00.002064,Largura
19,0 days 00:00:00.001950,Largura
20,0 days 00:00:00.005953,Largura
21,0 days 00:00:00.033970,Largura
22,0 days 00:00:00.004969,Largura
23,0 days 00:00:00.010676,Largura
24,0 days 00:00:00.048957,Largura
25,0 days 00:00:00.016017,Largura
26,0 days 00:00:00.085427,Largura
27,0 days 00:00:00.065837,Largura
28,0 days 00:00:00.120866,Largura
29,0 days 00:00:00.177831,Largura
30,0 days 00:00:00.276005,Largura
31,0 days 00:00:00.345097,Largura
32,0 days 00:00:00.566744,Largura
33,0 days 00:00:00.682854,Largura
34,0 days 00:00:00.993676,Largura
35,0 days 00:00:01.264705,Largura
36,0 days 00:00:01.945970,Largura
37,0 days 00:00:02.738976,Largura
38,0 days 00:00:03.831255,Largura
39,0 days 00:00:04.940221,Largura
40,0 days 00:00:07.923610,Largura
41,0 days 00:00:10.964916,Largura
42,0 days 00:00:13.887110,Largura
43,0 days 00:00:20.432435,Largura
44,0 days 00:00:28.498335,Largura
45,0 days 00:00:42.417081,Largura
46,0 days 00:01:15.406880,Largura
47,0 days 00:01:30.356142,Largura
48,0 days 00:05:23.064490,Largura
49,0 days 00:15:52.627324,Largura
50,0 days 00:45:31.925247,Largura
1,0,Profundidade m = 10
2,0,Profundidade m = 10
3,0,Profundidade m = 10
4,0,Profundidade m = 10
5,0,Profundidade m = 10
6,0,Profundidade m = 10
7,0,Profundidade m = 10
8,0,Profundidade m = 10
9,0,Profundidade m = 10
10,0,Profundidade m = 10
11,0,Profundidade m = 10
12,0,Profundidade m = 10
13,996,Profundidade m = 10
14,0,Profundidade m = 10
15,0,Profundidade m = 10
16,0,Profundidade m = 10
17,0,Profundidade m = 10
18,0,Profundidade m = 10
19,0,Profundidade m = 10
20,0,Profundidade m = 10
21,0,Profundidade m = 10
1,0,Profundidade m = 100
2,0,Profundidade m = 100
3,0,Profundidade m = 100
4,0,Profundidade m = 100
5,0,Profundidade m = 100
6,0,Profundidade m = 100
7,0,Profundidade m = 100
8,0,Profundidade m = 100
9,0,Profundidade m = 100
10,0,Profundidade m = 100
11,0,Profundidade m = 100
12,0,Profundidade m = 100
13,0,Profundidade m = 100
14,0,Profundidade m = 100
15,0,Profundidade m = 100
16,0,Profundidade m = 100
17,0,Profundidade m = 100
18,0,Profundidade m = 100
19,0,Profundidade m = 100
20,0,Profundidade m = 100
21,0,Profundidade m = 100
22,0,Profundidade m = 100
23,0,Profundidade m = 100
24,0,Profundidade m = 100
25,0,Profundidade m = 100
26,0,Profundidade m = 100
27,0,Profundidade m = 100
28,0,Profundidade m = 100
29,0,Profundidade m = 100
30,0,Profundidade m = 100
31,0,Profundidade m = 100
32,0,Profundidade m = 100
33,0,Profundidade m = 100
34,0,Profundidade m = 100
35,0,Profundidade m = 100
36,0,Profundidade m = 100
37,0,Profundidade m = 100
38,0,Profundidade m = 100
39,0,Profundidade m = 100
40,0,Profundidade m = 100
41,0,Profundidade m = 100
42,0,Profundidade m = 100
43,0,Profundidade m = 100
44,0,Profundidade m = 100
45,0,Profundidade m = 100
46,0,Profundidade m = 100
47,0,Profundidade m = 100
48,849,Profundidade m = 100
49,0,Profundidade m = 100
50,0,Profundidade m = 100
1,0,Profundidade iterativa
2,0,Profundidade iterativa
3,0,Profundidade iterativa
4,0,Profundidade iterativa
5,0,Profundidade iterativa
6,0,Profundidade iterativa
7,0,Profundidade iterativa
8,0,Profundidade iterativa
9,0,Profundidade iterativa
10,0,Profundidade iterativa
11,0,Profundidade iterativa
12,578,Profundidade iterativa
13,0,Profundidade iterativa
14,310,Profundidade iterativa
15,0,Profundidade iterativa
16,0,Profundidade iterativa
17,1083,Profundidade iterativa
18,999,Profundidade iterativa
19,995,Profundidade iterativa
20,1713,Profundidade iterativa
21,1992,Profundidade iterativa
22,3986,Profundidade iterativa
23,2990,Profundidade iterativa
24,8026,Profundidade iterativa
25,9238,Profundidade iterativa
26,15279,Profundidade iterativa
27,15946,Profundidade iterativa
28,30895,Profundidade iterativa
29,30000,Profundidade iterativa
30,60275,Profundidade iterativa
31,61794,Profundidade iterativa
32,121669,Profundidade iterativa
33,125858,Profundidade iterativa
34,247859,Profundidade iterativa
35,250164,Profundidade iterativa
36,505750,Profundidade iterativa
37,496689,Profundidade iterativa
38,996534,Profundidade iterativa
39,990829,Profundidade iterativa
40,29953,Profundidade iterativa
41,68712,Profundidade iterativa
42,85004,Profundidade iterativa
43,45680,Profundidade iterativa
44,183047,Profundidade iterativa
45,138379,Profundidade iterativa
46,432076,Profundidade iterativa
47,337873,Profundidade iterativa
48,889537,Profundidade iterativa
49,1829,Profundidade iterativa
50,938477,Profundidade iterativa
